Index,Source_ID,Facility_Name,Facility_Type,Authority_Name,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4Plus,OLMS_Status,Full_Addr,Unit,Street_No,Street_Name,City,Prov_Terr,Postal_Code,PRUID,CSDNAME,CSDUID,Longitude,Latitude,Geo_Source,Provider,CMANAME,CMAUID
c22dff6cff983d65d53c,9344004,Andre-Piolat,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,380 Kings Rd W North Vancouver BC V7N 2L9,,380,kings rd w,North Vancouver,BC,V7N2L9,59,North Vancouver,5915046,-123.07814,49.33747746,AGOL,Province of British Columbia,Vancouver,933
22235b33c8a71976141d,9339111,Anne-Hebert,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,0,0,,1,7051 Killarney St Vancouver BC V5S 2Y5,,7051,killarney st,Vancouver,BC,V5S2Y5,59,Vancouver,5915022,-123.0456656,49.21876557,AGOL,Province of British Columbia,Vancouver,933
899180c46c55a13161e8,9393006,Au Coeur de L'ile,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,1,,1,566 Linshart Rd Comox BC V9M 2K8,,566,linshart rd,Comox,BC,V9M2K8,59,Comox,5926005,-124.9287932,49.68396234,Source,Province of British Columbia,Courtenay,943
11c9fc49fa1d12d818aa,9361008,Beausoleil,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,0,0,,1,637 Head Street (temporary) Victoria BC V9A 5S9,,637,head street temporary,Victoria,BC,V9A5S9,59,Victoria,5917034,-123.3288585,48.42801917,AGOL,Province of British Columbia,Victoria,935
4e40beb83ffc28975178,9324064,Collines-d'or,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,2450 Partridge Dr Kamloops BC V2B 8G1,,2450,partridge dr,Kamloops,BC,V2B8G1,59,Kamloops,5933042,-120.3551209,50.74557689,AGOL,Province of British Columbia,Kamloops,925
bd9b48b1277a953c5aaa,9347006,Cote-du-Soleil,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,4368 Michigan Ave Powell River BC V8A 2S1,,4368,michigan ave,Powell River,BC,V8A2S1,59,Powell River,5927008,-124.5238374,49.83425002,AGOL,Province of British Columbia,Powell River,945
8504aba824ecff9f4282,9323027,de l'Anse-au-sable,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,1,,1,675 Lequime Rd Kelowna BC V1W 1A3,,675,lequime rd,Kelowna,BC,V1W1A3,59,Kelowna,5935010,-119.4839637,49.83567285,AGOL,Province of British Columbia,Kelowna,915
a88092fdd842d6a422ef,9339118,des Colibris,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,0,0,,1,590 W 65th Ave Vancouver BC V6P 2P8,,590,w 65th ave,Vancouver,BC,V6P2P8,59,Vancouver,5915022,-123.1194502,49.21147252,AGOL,Province of British Columbia,Vancouver,933
49d2fc9fc1e3e7c2d696,9375920,des Deux-rives,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,7674 Stave Lake St Mission BC V2V 4G4,,7674,stave lake st,Mission,BC,V2V4G4,59,Mission,5909056,-122.292708,49.14134,AGOL,Province of British Columbia,Abbotsford - Mission,932
5ae82ba975c64e15759e,9393007,des Glaciers,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,1950 Park Dr Revelstoke BC V0E 2S1,,1950,park dr,Revelstoke,BC,V0E2S1,59,Revelstoke,5939019,-118.1781964,50.97689981,AGOL,Province of British Columbia,,...
b292f6c3367970432a6a,9370006,des Grands-cedres,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,5100 Tebo Ave Port Alberni BC V9Y 5Y6,,5100,tebo ave,Port Alberni,BC,V9Y5Y6,59,Port Alberni,5923008,-124.7957849,49.26751463,Source,Province of British Columbia,Port Alberni,940
8eb3a929e2e2b374eb55,9338036,des Navigateurs,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,8580 Kilgour Pl Richmond BC V7C 3R1,,8580,kilgour pl,Richmond,BC,V7C3R1,59,Richmond,5915015,-123.1638709,49.15070913,Source,Province of British Columbia,Vancouver,933
b37696bf0746646e7717,9343092,des Pionniers-de-Maillardville,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,1,,1,1618 Patricia Ave Port Coquitlam BC V3B 4A8,,1618,patricia ave,Port Coquitlam,BC,V3B4A8,59,Port Coquitlam,5915039,-122.7610044,49.2758518,Source,Province of British Columbia,Vancouver,933
3e13d352a43395d75ba9,9393003,des Sentiers-alpins,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,2780 3A Hwy Nelson BC V1L 6L6,,2780,3a hwy,Nelson,BC,V1L6L6,59,Central Kootenay F,5903043,-117.2264504,49.57375982,Source,Province of British Columbia,Nelson,907
f92f11b1e458e1d5008b,9311004,des Sept-sommets,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,2160 St Paul Rossland BC V0G 1Y0,,2160,st paul,Rossland,BC,V0G1Y0,59,Rossland,5905023,-117.7955248,49.07866535,Nominatim,Province of British Columbia,,...
054780cc79e3ab6a3c3b,9335028,des Voyageurs,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,8736 216 St Langley BC V1M 2X9,,8736,216 st,Langley,BC,V1M2X9,59,Langley,5915001,-122.6240779,49.16077001,AGOL,Province of British Columbia,Vancouver,933
7eb1617fe1c9364f2043,9337031,du Bois-Joli,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,785 49 St delta BC V4M 2P3,,785,49 st,delta,BC,V4M2P3,59,Delta,5915011,-123.0881318,49.01742861,AGOL,Province of British Columbia,Vancouver,933
c7da06f3e412914d8fb0,9346003,du Pacifique,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,5538 Shorncliffe Box 390 Sechelt BC V0N 3A0,,390,shorncliffe box,Sechelt,BC,V0N3A0,59,Sechelt,5929011,-123.7644054,49.47295905,Source,Province of British Columbia,,...
6f69ad4a63690cebe3d1,9315013,Entre-Lacs,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,1213 Debeck Rd Penticton BC V2A 3Z1,,1213,debeck rd,Penticton,BC,V2A3Z1,59,Penticton,5907041,-119.5684822,49.4901011,AGOL,Province of British Columbia,Penticton,913
ae6fc35e60702d40c59a,9357053,Franco-nord,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,2641 Ellison Dr Prince George BC V2M 2S6,,2641,ellison dr,Prince George,BC,V2M2S6,59,Prince George,5953023,-122.7729203,53.90711878,AGOL,Province of British Columbia,Prince George,970
394cd39e964457010362,9393002,Gabrielle-Roy,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,1,,1,6887 132 St Surrey BC V3W 4L9,,6887,132 st,Surrey,BC,V3W4L9,59,Surrey,5915004,-122.856672,49.12838967,AGOL,Province of British Columbia,Vancouver,933
e08f33a8f85a89f2e8fc,9388027,Jack-Cook,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,4720 Graham Ave Terrace BC V8G 1A8,,4720,graham ave,Terrace,BC,V8G1A8,59,Terrace,5949011,-128.5949896,54.50606745,AGOL,Province of British Columbia,Terrace,965
44b6b246847199eba5c9,9393012,La Confluence,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,0,0,,1,820 11 Ave S Golden BC V0A 1H2,,820,11 ave s,Golden,BC,V0A1H2,59,Golden,5939007,-116.9618843,51.29777189,AGOL,Province of British Columbia,,...
7e3f9a0fffe1b3e06501,9393013,La Grande-ourse,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,0,0,,1,3490 Fulton Ave Smithers BC V0J 2N0,,3490,fulton ave,Smithers,BC,V0J2N0,59,Smithers,5951043,-127.1585577,54.77839669,AGOL,Province of British Columbia,,...
58922b8f11f092fc48be,9348020,La Passerelle,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,1509 Spring Creek Dr Whistler BC V0N 1B1,,1509,spring creek dr,Whistler,BC,V0N1B1,59,Whistler,5931020,-123.0216799,50.0862201,Source,Province of British Columbia,,...
aaeff839dfc7879e4440,9348024,La Vallee,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,1410 Portage Rd Pemberton BC V0N 2L0,,1410,portage rd,Pemberton,BC,V0N2L0,59,Pemberton,5931012,-122.8039214,50.31950365,AGOL,Province of British Columbia,,...
94b316660c65a48f9b38,9333002,La Verendrye,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,0,0,,1,6610 Lickman Rd Chilliwack BC V2R 4A9,,6610,lickman rd,Chilliwack,BC,V2R4A9,59,Chilliwack,5909020,-122.006728,49.12224947,AGOL,Province of British Columbia,Chilliwack,930
a8e83f942940434f8d89,9348008,Les Aiglons,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,1150 Carson Place PO Box 159 Squamish BC V8B 0B1,,1150,carson place,Squamish,BC,V8B0B1,59,Squamish,5931006,-123.148249,49.70670901,Source,Province of British Columbia,Squamish,934
558b65b4214e62240c53,9372031,Mer-et-montagne,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,1102 South Alder St Campbell River BC V9W 1Z7,,1102,south alder st,Campbell River,BC,V9W1Z7,59,Campbell River,5924034,-125.2321127,49.98749971,AGOL,Province of British Columbia,Campbell River,944
5cbbbfd44c072b0a3db3,9368067,Oceane,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,1,0,,1,1951 Estevan Rd Nanaimo BC V9S 3Y9,,1951,estevan rd,Nanaimo,BC,V9S3Y9,59,Nanaimo,5921007,-123.9611518,49.18905361,AGOL,Province of British Columbia,Nanaimo,938
2bcbaf878854eb4fe401,9339092,Rose-des-vents,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,1,1,0,0,,1,5445 Baillie St Vancouver BC V5Z 3M6,,5445,baillie st,Vancouver,BC,V5Z3M6,59,Vancouver,5915022,-123.122302,49.2365596,AGOL,Province of British Columbia,Vancouver,933
3198a5080a86656b1e93,9347021,Secondaire Brooks,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,0,0,0,1,,1,5400 Marine Ave Powell River BC V8A 2L6,,5400,marine ave,Powell River,BC,V8A2L6,59,Powell River,5927008,-124.5432154,49.86223585,AGOL,Province of British Columbia,Powell River,945
96481bbe27e0624f4e4e,9372010,Secondaire Carihi,Public School,Campbell River School District,0,0,0,1,1,,1,350 Dogwood St Campbell River BC V9W 2X9,,350,dogwood st,Campbell River,BC,V9W2X9,59,Campbell River,5924034,-125.24911,50.01409557,Source,Province of British Columbia,Campbell River,944
030453da082634c8d753,9346017,Secondaire Chatelech,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,0,0,1,1,,1,5904 Cowrie St Sechelt BC V0N 3A7,,5904,cowrie st,Sechelt,BC,V0N3A7,59,Sechelt,5929011,-123.7689176,49.47352508,Source,Province of British Columbia,,...
c25670fff0ca8df88837,9368001,Secondaire de Nanaimo,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,0,0,1,1,,1,355 Wakesaih Ave Nanaimo BC V9R 3K5,,355,wakesaih ave,Nanaimo,BC,V9R3K5,59,Nanaimo,5921007,-123.9611518,49.18905361,AGOL,Province of British Columbia,Nanaimo,938
48111701049e54c48a69,9307013,Secondaire de Nelson,Public School,Conseil scolaire francophone de la Colombie-Britannique,0,0,0,1,1,,1,1004 Cottonwood St Nelson BC V1L 3W2,,1004,cottonwood st,Nelson,BC,V1L3W2,59,Nelson,5903015,-117.2721997,49.50223248,AGOL,Province of British Columbia,Nelson,907
f721673b0cd36fad7be4,9393004,Secondaire de Penticton,Public School,School District 67 Okanagan Skaha,0,0,0,1,1,,1,158 Eckhardt Ave E Penticton BC V2A 1Z3,,158,eckhardt ave e,Penticton,BC,V2A1Z3,59,Penticton,5907041,-119.5767781,49.48985698,AGOL,Province of British Columbia,Penticton,913
