bedrooms,longitude,name,latitude,bathrooms_level_two,streetAddress,country,locality,postal,region,housing_type,links,URL,Sauna
2,-123.113900,Luxury 2 Bed + Den 2.5 Bath Condo with In-Home Infrared Sauna,49.278800,3.0,,CA,Vancouver,V6B2P2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-bed-den-25-bath-condo/7579339114.html,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-bed-den-25-bath-condo/7579339114.html,True
5,-122.862600,5 Beds 3 Bath plus Sauna on Ioco Rd,49.323100,3.0,,CA,Port Moody,V3H,BC,House,https://vancouver.craigslist.org/pml/apa/d/port-moody-beds-bath-plus-sauna-on-ioco/7574540378.html,https://vancouver.craigslist.org/pml/apa/d/port-moody-beds-bath-plus-sauna-on-ioco/7574540378.html,True
2,-123.120625,"Water View 2bdrm, 2Bath, Pool, Gym, Hot Tub, Steam, Sauna",49.273928,2.0,Davie St,CA,Vancouver,V6Z2Y1,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-water-view-2bdrm-2bath-pool/7566250466.html,https://vancouver.craigslist.org/van/apa/d/vancouver-water-view-2bdrm-2bath-pool/7566250466.html,True
1,-122.844744,1bed 1bath with great amenities at awesome location,49.191406,1.0,100 Ave,CA,Surrey,V3T2W5,BC,Apartment,https://vancouver.craigslist.org/rds/apa/d/surrey-1bed-1bath-with-great-amenities/7585754699.html,https://vancouver.craigslist.org/rds/apa/d/surrey-1bed-1bath-with-great-amenities/7585754699.html,True
2,-123.129763,Furnished Brand New A/C Unit at One Burrard Place,49.277624,2.0,,CA,Vancouver,V6Z1Z1,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-brand-new-c-unit-at/7585749743.html,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-brand-new-c-unit-at/7585749743.html,True
2,-123.133716,(ORCA_REF#PH6-1688)***Gorgeous & Spacious 2 Bed/3Bath Penthouse ***,49.290360,3.0,1688 Robson Street,CA,Vancouver,V6G2J8,BC,House,https://vancouver.craigslist.org/van/apa/d/vancouver-orcarefph6-1688gorgeous/7585747970.html,https://vancouver.craigslist.org/van/apa/d/vancouver-orcarefph6-1688gorgeous/7585747970.html,True
1,-123.120726,Furnished Executive A/C Unit at the Vantage,49.287960,2.0,,CA,Vancouver,V6E4J6,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-executive-c-unit-at/7585744626.html,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-executive-c-unit-at/7585744626.html,True
,,,,,,,,,,,https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-vancouver-studio/7575678067.html,https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-vancouver-studio/7575678067.html,True
2,-122.843800,Great View - 30th Floor: 2BR Condo @ Park Blvd - Avail Mar 1st~,49.183493,2.0,,CA,Surrey,V3T0A8,BC,Apartment,https://vancouver.craigslist.org/rds/apa/d/surrey-great-view-30th-floor-2br-condo/7585737088.html,https://vancouver.craigslist.org/rds/apa/d/surrey-great-view-30th-floor-2br-condo/7585737088.html,True
1,-123.127033,Central 1 Bedroom + Den View Suite Spacious and Newly Renovated,49.277909,1.0,1189 howe,CA,Vancouver,V6Z2X4,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-central-bedroom-den-view/7585725878.html,https://vancouver.craigslist.org/van/apa/d/vancouver-central-bedroom-den-view/7585725878.html,True
