posted,neighborhood,post title,number bedrooms,sqft,URL,price
2023-01-31 10:06, (Downtown Vancouver),Luxury 2 Bed + Den 2.5 Bath Condo with In-Home Infrared Sauna,2,2750.0,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-bed-den-25-bath-condo/7579339114.html,8995
2023-01-23 13:12, (Port Moody),5 Beds 3 Bath plus Sauna on Ioco Rd,5,4253.0,https://vancouver.craigslist.org/pml/apa/d/port-moody-beds-bath-plus-sauna-on-ioco/7574540378.html,6000
2023-01-05 11:07," (Yaletown, Vancouver)","Water View 2bdrm, 2Bath, Pool, Gym, Hot Tub, Steam, Sauna",2,880.0,https://vancouver.craigslist.org/van/apa/d/vancouver-water-view-2bdrm-2bath-pool/7566250466.html,5995
2023-02-01 18:45, (602 Como lake Avenue),Burquitlam close to SFU 1 bedroom apartment move in now,1,550.0,https://vancouver.craigslist.org/pml/apa/d/coquitlam-north-burquitlam-close-to-sfu/7582271466.html,2250
2023-02-01 18:44, (Uptown 2 - Coquitlam),"Luxury High Rise -2 Br, 2 Ba -Available Immediately - Must See",2,865.0,https://vancouver.craigslist.org/pml/apa/d/coquitlam-luxury-high-rise-br-ba/7579372888.html,2880
2023-02-01 18:32, (Yaletown),City & Mountain View 1 Bedroom Apartment Rental at Waterworks,1,600.0,https://vancouver.craigslist.org/van/apa/d/vancouver-city-mountain-view-bedroom/7582130326.html,2800
2023-02-01 18:32, (Yaletown),Furnished 1 Bedroom Water & City View Apartment Rental at West One,1,721.0,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-bedroom-water-city/7579956476.html,3000
2023-02-01 18:32, (Tsawwassen),Windsor Woods 3rd Floor Unfurnished 2 Bedroom Apartment,2,869.0,https://vancouver.craigslist.org/rds/apa/d/delta-windsor-woods-3rd-floor/7581682980.html,2600
2023-02-01 18:32, (Downtown Vancouver),40th Floor Unfurnished Luxury 2 Bedroom at Shangri-La,2,1619.0,https://vancouver.craigslist.org/van/apa/d/vancouver-40th-floor-unfurnished-luxury/7575316646.html,6700
2023-02-01 18:18, (Vancouver),PET FRIENDLY 1 BED + DEN + 1 BATH IN VANCOUVER,1,533.0,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-friendly-bed-den-bath-in/7585038652.html,2400
2023-02-01 18:01, (Coal Harbour),Fully Furnished 1 BR + 1 Baths #3th floor,1,600.0,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-furnished-br-baths-3th/7585034637.html,3300
2023-02-01 17:56," (1077 West Cordova St, DOWNTOWN)","SHAW TOWER! Stunning Water View, Furnished-Large Balcony #3004",2,1356.0,https://vancouver.craigslist.org/van/apa/d/vancouver-shaw-tower-stunning-water/7585033655.html,8000
2023-02-01 17:38, (WEST VANCOUVER),Luxurious House - Stunning view - West Van,6,4864.0,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-luxurious-house-stunning/7578932603.html,7500
2023-02-01 17:38, (CHARTWELL DR WEST VANCOUVER),Luxurious House - Stunning view - West Van,6,4864.0,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-luxurious-house-stunning/7578932497.html,7500
2023-02-01 17:01, (Port Moody - Inlet Skytrain),Furnished 2 Bed 2 Bath in New Building - Inlet Skytrain,2,800.0,https://vancouver.craigslist.org/pml/apa/d/port-moody-furnished-bed-bath-in-new/7582977806.html,3800
2023-02-01 16:19, (King George/Surrey),Great View - 30th Floor: 2BR Condo @ Park Blvd - Avail Mar 1st~,2,827.0,https://vancouver.craigslist.org/rds/apa/d/surrey-great-view-30th-floor-2br-condo/7585006845.html,2700
2023-02-01 16:03, (Shaughnessy),Spacious Custom Luxury Home at 4810 Hudson St - available furnished,6,6029.0,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-custom-luxury-home/7584999614.html,15800
2023-02-01 15:58, (Yaletown),"1 Bed + Den, 2 Bath Furnished Condo w/ 1200 sqft Private Patio",1,1000.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-den-bath-furnished-condo/7585000693.html,6495
2023-02-01 15:53, (Fairview/Granville Island),Furnished Apartment Unit 408 at Harbour Cove 2 1470 Pennyfarthing Dr,1,947.0,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-apartment-unit-408/7584988665.html,3400
2023-02-01 15:40, (Surrey Center),"1 Bed + 1 Den, Park Ave by Concord Pacific 3 mins to Skytrain Station",1,548.0,https://vancouver.craigslist.org/rds/apa/d/surrey-bed-den-park-ave-by-concord/7584994315.html,1970
2023-02-01 15:28, (New Westminster),Room for rent,2,950.0,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-room-for-rent/7584991838.html,1200
